                                                                                                                                                                           
{'loss': 2.854, 'grad_norm': 18.085081100463867, 'learning_rate': 4.217462932454695e-06, 'epoch': 0.01}
{'loss': 2.8435, 'grad_norm': 10.297892570495605, 'learning_rate': 4.2504118616144976e-06, 'epoch': 0.01}
{'loss': 2.5516, 'grad_norm': 16.04716682434082, 'learning_rate': 4.2833607907743006e-06, 'epoch': 0.01}
{'loss': 3.1626, 'grad_norm': 12.279417991638184, 'learning_rate': 4.316309719934103e-06, 'epoch': 0.01}
{'loss': 2.6812, 'grad_norm': 11.61068058013916, 'learning_rate': 4.349258649093905e-06, 'epoch': 0.01}
{'loss': 2.5111, 'grad_norm': 7.590319633483887, 'learning_rate': 4.382207578253707e-06, 'epoch': 0.01}
{'loss': 2.5303, 'grad_norm': 10.531319618225098, 'learning_rate': 4.415156507413509e-06, 'epoch': 0.01}
{'loss': 3.1914, 'grad_norm': 14.716484069824219, 'learning_rate': 4.448105436573311e-06, 'epoch': 0.01}
{'loss': 2.8006, 'grad_norm': 15.10280704498291, 'learning_rate': 4.481054365733114e-06, 'epoch': 0.01}
{'loss': 2.5242, 'grad_norm': 6.439120769500732, 'learning_rate': 4.5140032948929165e-06, 'epoch': 0.01}
{'loss': 2.9192, 'grad_norm': 12.549516677856445, 'learning_rate': 4.546952224052719e-06, 'epoch': 0.01}
{'loss': 2.6493, 'grad_norm': 8.542844772338867, 'learning_rate': 4.579901153212521e-06, 'epoch': 0.01}
{'loss': 2.3501, 'grad_norm': 23.195404052734375, 'learning_rate': 4.612850082372323e-06, 'epoch': 0.01}
{'loss': 2.9613, 'grad_norm': 11.704839706420898, 'learning_rate': 4.645799011532125e-06, 'epoch': 0.01}
{'loss': 2.562, 'grad_norm': 14.242877006530762, 'learning_rate': 4.678747940691928e-06, 'epoch': 0.01}
{'loss': 2.4665, 'grad_norm': 21.4449462890625, 'learning_rate': 4.71169686985173e-06, 'epoch': 0.01}
{'loss': 2.9286, 'grad_norm': 24.169984817504883, 'learning_rate': 4.7446457990115324e-06, 'epoch': 0.01}
{'loss': 2.9407, 'grad_norm': 50.2627067565918, 'learning_rate': 4.777594728171335e-06, 'epoch': 0.01}
{'loss': 2.3058, 'grad_norm': 38.590702056884766, 'learning_rate': 4.810543657331137e-06, 'epoch': 0.01}
{'loss': 2.5168, 'grad_norm': 26.365644454956055, 'learning_rate': 4.84349258649094e-06, 'epoch': 0.01}
{'loss': 2.5952, 'grad_norm': 27.171810150146484, 'learning_rate': 4.876441515650742e-06, 'epoch': 0.01}
{'loss': 2.7606, 'grad_norm': 14.289596557617188, 'learning_rate': 4.909390444810544e-06, 'epoch': 0.01}
{'loss': 2.7117, 'grad_norm': 16.217960357666016, 'learning_rate': 4.942339373970346e-06, 'epoch': 0.01}
