                                                                                                                                                                           
{'loss': 3.0974, 'grad_norm': 21.245405197143555, 'learning_rate': 1.7477328936521023e-06, 'epoch': 0.0}
{'loss': 2.9325, 'grad_norm': 31.29721450805664, 'learning_rate': 1.7642209398186315e-06, 'epoch': 0.0}
{'loss': 2.8623, 'grad_norm': 12.737393379211426, 'learning_rate': 1.780708985985161e-06, 'epoch': 0.0}
{'loss': 2.5155, 'grad_norm': 11.49801254272461, 'learning_rate': 1.7971970321516902e-06, 'epoch': 0.0}
{'loss': 2.5159, 'grad_norm': 8.220474243164062, 'learning_rate': 1.8136850783182194e-06, 'epoch': 0.0}
{'loss': 2.4771, 'grad_norm': 17.350425720214844, 'learning_rate': 1.8301731244847487e-06, 'epoch': 0.0}
{'loss': 2.8633, 'grad_norm': 13.476470947265625, 'learning_rate': 1.846661170651278e-06, 'epoch': 0.0}
{'loss': 2.5874, 'grad_norm': 9.494504928588867, 'learning_rate': 1.8631492168178072e-06, 'epoch': 0.0}
{'loss': 2.4889, 'grad_norm': 26.94816017150879, 'learning_rate': 1.8796372629843366e-06, 'epoch': 0.0}
{'loss': 2.4954, 'grad_norm': 7.9070658683776855, 'learning_rate': 1.8961253091508658e-06, 'epoch': 0.0}
{'loss': 2.4576, 'grad_norm': 11.91823959350586, 'learning_rate': 1.912613355317395e-06, 'epoch': 0.0}
{'loss': 2.9824, 'grad_norm': 8.91144847869873, 'learning_rate': 1.9291014014839245e-06, 'epoch': 0.0}
{'loss': 2.8794, 'grad_norm': 12.360118865966797, 'learning_rate': 1.9455894476504535e-06, 'epoch': 0.0}
{'loss': 2.9271, 'grad_norm': 7.393722057342529, 'learning_rate': 1.962077493816983e-06, 'epoch': 0.0}
{'loss': 3.763, 'grad_norm': 4.740237712860107, 'learning_rate': 1.978565539983512e-06, 'epoch': 0.0}
{'loss': 2.7505, 'grad_norm': 23.155277252197266, 'learning_rate': 1.9950535861500415e-06, 'epoch': 0.0}
{'loss': 3.3722, 'grad_norm': 6.198198318481445, 'learning_rate': 2.0115416323165705e-06, 'epoch': 0.0}
{'loss': 2.3115, 'grad_norm': 6.497165203094482, 'learning_rate': 2.0280296784831e-06, 'epoch': 0.0}
{'loss': 2.4466, 'grad_norm': 31.06294059753418, 'learning_rate': 2.0445177246496294e-06, 'epoch': 0.0}
{'loss': 2.6506, 'grad_norm': 22.69081687927246, 'learning_rate': 2.0610057708161584e-06, 'epoch': 0.0}
{'loss': 2.9129, 'grad_norm': 9.14439582824707, 'learning_rate': 2.077493816982688e-06, 'epoch': 0.0}
{'loss': 2.3349, 'grad_norm': 8.79213809967041, 'learning_rate': 2.093981863149217e-06, 'epoch': 0.0}
{'loss': 2.4785, 'grad_norm': 9.60690689086914, 'learning_rate': 2.1104699093157463e-06, 'epoch': 0.0}
{'loss': 3.6722, 'grad_norm': 5.8327178955078125, 'learning_rate': 2.1269579554822758e-06, 'epoch': 0.0}
{'loss': 3.2626, 'grad_norm': 6.98561429977417, 'learning_rate': 2.1434460016488048e-06, 'epoch': 0.0}
{'loss': 2.3849, 'grad_norm': 11.561601638793945, 'learning_rate': 2.1599340478153342e-06, 'epoch': 0.0}
{'loss': 3.0693, 'grad_norm': 5.923085689544678, 'learning_rate': 2.1764220939818633e-06, 'epoch': 0.0}
{'loss': 2.358, 'grad_norm': 7.697329044342041, 'learning_rate': 2.1929101401483927e-06, 'epoch': 0.0}
{'loss': 3.6947, 'grad_norm': 5.227184295654297, 'learning_rate': 2.2093981863149217e-06, 'epoch': 0.0}
{'loss': 2.4293, 'grad_norm': 10.964140892028809, 'learning_rate': 2.225886232481451e-06, 'epoch': 0.0}
{'loss': 2.9018, 'grad_norm': 5.717044830322266, 'learning_rate': 2.2423742786479806e-06, 'epoch': 0.0}
{'loss': 2.4728, 'grad_norm': 14.477327346801758, 'learning_rate': 2.2588623248145096e-06, 'epoch': 0.0}
{'loss': 2.3008, 'grad_norm': 16.938688278198242, 'learning_rate': 2.275350370981039e-06, 'epoch': 0.0}
